MATCH_TEXT,MERCHANT_NORMALIZED,CATEGORY,SUBCATEGORY
RECURRING TRANSFER TO,Internal Transfer,Transfers,Checking to Savings
ROCKET,Rocket,Unknown,
RONTOM'S,,,
SAFEWAY,Safeway,Groceries,
SALT & STRAW,,,
SALT AND STRA,Salt and Straw,Restaurants,Ice Cream
SANDY HUT,Sandy Hut,Restaurants,Alcohol
SEASWEETS POKE,,,
SHAK QUICK STOP MARKET LL HILLSBORO,Quick Stop Market,Restaurants,Snacks
SHAKE SHACK,,,
SHALOM YALL,,,
SHANDONG RESTAURAN,Shandong,Restaurants,Chineese
SHELL OIL,Shell,Transportation,Gas
SHELL OIL100060640,,,
SHELL SERVICE STATION,Shell,Transportation,Gas
SHOCKBYTE,Shockbyte,Subscriptions,Minecraft Hosting
"SINCERELY, BAG",Sincerely Bagel,Restaurants,Bagels
SIZZLE PIE,Sizzle Pie,Restaurants,Pizza
SLOW HASTE,Slow Haste,Restaurants,Coffee
SNAPPY'S,Snappy's,Restaurants,Sandwiches
SPO*CHIMCKING-PORT,Chimcking,Restaurants,
SPO*ELJARRITOTAQUE,,,
Square Inc,Basilisk,Income,Paycheck
STARBUCKS,Starbucks,Restaurants,Coffee
STEAMGAMES.COM,Steam,Shopping,Video Games
STRAIGHT FROM NY P,,,
SURE SHOT,Sure Shot,Restaurants,Burgers
TACO BELL,Taco Bell,Restaurants,Fast Food
TAQUERIA RICO,Taqueria Rico Taco,Restaurants,Mexican
TAQUERIA SANTA,Taqueria Santa Cruz,Restaurants,Mexican
TASTES ON THE,Tastes on the ?,Restaurants,
THAI CHAMPA,Thai Champass,Restaurants,Thai
The Community Cycling Cen Portland,,,
THE FIRKIN TAV,,,
THE HOME DEPOT,The Home Depot,Shopping,Hardware
THE NEST LOUNGE,,,
THE VERN,The Vern,Restaurants,Alcohol
TILLAMOOK COUNTY I,,,
TOP MARKET,Top Market,Restaurants,Snacks
TRIMET,Trimet,Transportation,Public Transit
TRIPLE NICKEL PUB,Triple Nickel,Restaurants,Alcohol
UEP*SUSHI OHANA IN,Sushi Ohana,Restaurants,Sushi
US BLM NW OREGON V,State Park,Transportation,Parking
US MARKET,,,
VENMO,Venmo,,
VOODOO DOUGHNU,,,
WALGREENS STORE 4325 SE 8 PORTLAND,Walgreens,Groceries,
WENDY'S -1508,,,
WHOLEFDS LLH 104 2825 E B PORTLAND,Whole Foods,Groceries,
WL *STEAM PURCHASE,Steam,Shopping,Video Games
WOLFS HEAD,Wolfs Head,Restaurants,Burgers
WORKERS TAP,Workers Tap,Restaurants,Coffee
WWW.THECINEMAGICTH,,,
ZELLE FROM CHRISTINA M GODINEZ,,,
ZELLE TO,,,
ZUMIEZ,Zumies,Shopping,Clothing
